RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3185,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2782,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3221,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2764,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3457,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2671,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1856,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2594,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2138,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2734,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3053,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2776,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2085,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2037,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2295,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2628,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3175,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3879,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2548,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2347,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2185,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2422,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2005,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2763,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2191,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2469,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4502,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3005,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2143,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2408,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2666,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2787,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2278,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3933,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2902,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2612,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4302,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3012,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2227,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1883,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2911,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2448,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3265,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3766,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2581,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2961,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4680,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2601,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2243,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3512,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2124,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2017,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3587,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3084,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2439,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4899,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3267,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2393,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2090,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1617,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1477,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1637,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1510,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2084,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1748,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1821,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1683,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2354,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2607,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2809,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2540,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2198,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3266,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2948,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1797,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2427,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2470,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2239,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2233,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1895,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2309,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2409,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2442,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2549,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2527,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3303,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1765,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2500,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2328,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2178,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2387,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1735,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2780,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2765,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2258,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2945,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
4385,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2075,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1548,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2523,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2364,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1791,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3588,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3127,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2169,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1986,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2019,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2775,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2389,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2333,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2054,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2622,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1752,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1770,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2198,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
3517,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2139,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
1576,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2033,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2223,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2914,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2223,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2226,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
2695,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5f9802a1306ea3045e8c0b43,"04/26/2022, 07:15:17"
