RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
6101,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3566,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3113,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3992,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
5346,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4178,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4102,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3725,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
6345,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
8954,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4683,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2909,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4051,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3512,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2833,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3052,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3316,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2901,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3088,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
4747,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
2740,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3485,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
3286,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
6161,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5faeae113cee450a0e2aac47,"04/26/2022, 07:22:03"
