RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5440,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3846,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3167,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4400,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2898,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2412,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7391,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3238,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6453,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4480,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4195,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8313,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2769,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5564,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5396,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8504,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3793,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8993,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3742,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4536,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3314,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5242,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6311,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5468,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
11743,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
12680,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4744,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3662,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5095,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
9228,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6042,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3308,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
2725,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4400,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5264,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
8862,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4817,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6381,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3998,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7169,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3715,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
5518,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6593,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7164,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3517,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
7100,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4032,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3109,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3774,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4054,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4472,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
6638,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4251,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
4258,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
3399,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59f4ed489618dc0001d33c59,"04/26/2022, 07:26:00"
