RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1919,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1832,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2488,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2599,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1952,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2055,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2447,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2967,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3039,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
5767,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4584,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2904,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3063,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2872,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3055,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3271,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3535,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1551,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2216,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2255,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
6839,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4152,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3655,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4208,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3343,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4079,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3943,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3376,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
6711,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3567,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2655,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2608,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
5087,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3775,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
5000,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2536,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3111,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3840,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2327,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2248,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3310,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2079,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2968,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2847,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
5126,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2407,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1912,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2479,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3407,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2512,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2167,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2239,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2184,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2928,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3912,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2679,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3072,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3735,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1807,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4087,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3191,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3696,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2471,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2904,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3615,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2167,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2679,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2791,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2527,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1703,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2015,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2191,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3471,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2207,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2111,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2599,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
4191,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3367,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3519,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3431,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2375,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2007,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3344,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2639,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
3671,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1935,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2103,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2407,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1919,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2375,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2080,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2351,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1807,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2536,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1919,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1920,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1823,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1607,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
1831,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
2247,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c3de0bdde04ad0001d8df22,"04/26/2022, 07:19:07"
