RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2526,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2080,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2980,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3930,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2606,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2034,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
1969,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
2501,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
3395,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
file,isFamiliar,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_M_bill_clinton.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_F_angelina_jolie.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_M_Tony_Blair.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_M_robert_de_niro.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_M_boris_johnson.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_M_Hugh_Grant.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_M_tom_hankes.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_F_keira_knightley.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_F_tehresy_may.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_F_sandra_bullock.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_M_david_cameron.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_F_Judi_Dench.jpg,0,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_F_Kate_Winslet.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_M_michael_caine.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_M_george_Wbush.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_F_hillary_clinton.jpg,0,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_M_nicolas_cage.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_F_nicola_sturgeon.jpg,0,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
P_M_donald_trump.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
E_F_jennifer_aniston.jpg,1,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
age: 25,gender: Female,handedness: right,5f0f2ff0762218000970c967,"04/26/2022, 07:45:35"
