RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3855,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2359,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3486,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2590,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3502,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2079,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3462,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3191,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2943,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2214,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
8374,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3271,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3191,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
35398,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2279,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2270,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
1559,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2150,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
1895,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2215,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2151,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2318,E_F_keira_knightley.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3327,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3455,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2319,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
7719,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2342,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
2486,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3359,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
3735,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,607956d15de9adea5646ed38,"04/26/2022, 07:18:08"
