RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
4501,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3446,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3668,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3029,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6477,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3812,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3127,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
2929,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3332,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3498,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3883,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6758,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
5925,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
7775,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
6923,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3879,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3758,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
3888,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ecfd28bb14b1c05751f178c,"04/26/2022, 07:44:41"
