RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3162,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3013,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2852,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
6683,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3504,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3114,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3887,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3054,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3178,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3120,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2611,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2687,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3022,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3313,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5019,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2481,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2874,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3744,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3898,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2678,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3640,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2514,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5176,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4016,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2659,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3594,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3339,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2728,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2844,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4737,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3061,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3923,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2569,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3169,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3468,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
6498,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5230,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3046,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2753,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3928,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2732,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3475,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
8778,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3409,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3926,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2988,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3496,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3358,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2954,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4350,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2789,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3802,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2712,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2578,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2378,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2394,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4359,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2869,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3111,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4552,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3074,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3278,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3639,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2634,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4987,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3328,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2706,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2445,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2171,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3105,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2579,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2234,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4947,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2847,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
4911,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3220,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
6821,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2612,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
12229,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3107,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
10046,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3640,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
5619,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
2590,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3130,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
3090,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5cd9dd09c8e37500018ab627,"04/26/2022, 07:32:47"
