RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2505,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2206,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3655,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2404,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2177,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2482,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1811,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1839,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1659,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3229,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1695,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1678,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3306,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2083,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2298,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2765,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3044,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2145,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2654,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2832,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2975,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
3571,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
4885,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2760,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2376,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1742,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1576,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1423,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1472,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1510,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1883,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2529,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2271,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2127,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2221,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2343,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2358,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2189,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1902,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
2079,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
1959,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c1d234d89f035000172aeb7,"04/26/2022, 07:16:53"
