RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4395,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2553,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3048,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2601,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3463,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2089,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3880,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2414,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3169,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2404,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2848,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3477,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2769,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3105,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3802,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3759,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
5102,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3354,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
6793,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
5700,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
7854,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2983,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2328,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2240,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4748,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2449,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2919,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2963,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2496,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2908,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2817,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3093,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4791,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3920,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3040,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4580,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2992,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2832,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3776,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
4341,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2135,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2234,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2736,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
5683,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2557,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2972,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3526,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2115,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
1985,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2879,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
5029,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
3594,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2435,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2958,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2956,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2239,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2477,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
2703,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d3ef33e8da0790017c90e08,"04/26/2022, 07:19:39"
