RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2184,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1959,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2750,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1851,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3414,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2093,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1955,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2066,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2060,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2187,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3836,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1700,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
2291,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3694,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
3030,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1828,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
1857,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
7900,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,59a734ce0c87a000017481ed,"04/26/2022, 07:26:27"
