RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2145,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2826,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1287,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2167,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2175,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2586,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2347,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3204,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4690,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2267,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3063,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2439,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2412,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
6800,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2976,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3551,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3166,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4989,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2229,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2468,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2042,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2516,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3799,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
10834,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
4067,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
18613,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
2826,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
3387,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1924,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
1430,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5efde724d80f81077c0800b9,"04/26/2022, 06:27:20"
