RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3227,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3306,E_M_nicolas_cage.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
3270,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5614,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
7237,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5831,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
5640,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
1792,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
2514,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
7303,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,559e16a2fdf99b4f0b984e34,"11/29/2021, 17:32:33"
