RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4538,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
6842,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3557,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4045,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5763,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3575,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4647,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3018,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3281,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2806,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3642,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3511,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4008,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
6122,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5305,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5879,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3037,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
6221,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2552,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4282,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4531,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2246,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2486,E_F_Judi_Dench.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2656,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5316,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3562,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3130,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4286,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3296,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2383,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2469,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2720,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4047,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3796,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2259,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2471,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2909,E_M_Martin_Freeman.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1683,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2161,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2335,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3691,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2428,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3381,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3066,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2476,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3532,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4137,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2040,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2107,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2394,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2096,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1859,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1993,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2010,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2558,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2244,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2207,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1903,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2690,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2406,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1860,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2344,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1842,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3008,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2727,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2069,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2642,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2965,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2564,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4973,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3943,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5067,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3365,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2613,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3074,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4210,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3600,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2169,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3386,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1955,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3540,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2009,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1935,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3387,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1995,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1831,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2685,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5079,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1931,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3215,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1529,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2796,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4028,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3458,P_F_esther_mcvey.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1985,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3387,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1812,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3020,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2144,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2048,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1701,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2818,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3289,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2647,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2064,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1608,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1815,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1951,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2924,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
5099,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2479,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1755,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1733,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
3011,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1959,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
4671,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2000,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2023,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2064,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1731,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2605,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
2775,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
1709,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5fdf51ff90279e7803b0f0ac,"11/30/2021, 18:27:16"
