RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
6744,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2898,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3803,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2513,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2926,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2375,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2749,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2543,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
6539,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2873,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
28362,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2712,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2858,E_M_tom_hankes.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2729,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4516,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
13748,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
9864,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5914,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2839,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3514,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
11116,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3042,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5002,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4380,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2128,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2542,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2701,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3094,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3626,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2321,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1700,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4566,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2397,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2109,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1901,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2892,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
19085,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4312,E_M_Martin_Freeman.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3682,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4511,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2255,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2466,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
6624,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2428,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3216,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2646,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2729,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2022,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2654,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2011,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3869,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3689,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2262,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3227,P_F_nicola_sturgeon.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2829,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
5376,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3719,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2560,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3827,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1965,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
1997,E_M_Martin_Freeman.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3119,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2269,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3003,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2390,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2458,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3339,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
3528,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
4444,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2769,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2045,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2257,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2702,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2021,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2293,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
2145,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5d5ee60d8c0a07001719f9dd,"11/28/2021, 15:50:20"
