RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3864,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
7037,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4494,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3799,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3583,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3067,E_M_liam_neeson.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
10917,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3911,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3817,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4705,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6838,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
7667,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4271,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6941,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4436,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4217,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5656,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4136,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5280,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5273,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4406,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5704,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4416,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4298,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5073,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6621,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3564,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4475,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3899,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3659,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3635,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4993,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3313,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3297,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3907,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4569,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4224,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4094,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5587,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4067,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3592,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4521,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3475,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4101,E_M_anthony_hopkins.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
8632,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
24400,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
9701,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3286,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3482,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3259,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3101,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4244,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4793,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3335,E_M_Martin_Freeman.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3147,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4010,E_F_Judi_Dench.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4938,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3701,E_F_jennifer_aniston.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3486,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6701,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
2890,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5196,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3492,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3610,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4244,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4374,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
2820,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4490,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
5376,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
6911,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
9222,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
4023,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3349,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
2444,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
2583,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
3136,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,57e508cec3e5930001447391,"11/30/2021, 18:24:29"
