RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4223,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5271,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4022,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4158,E_F_Judi_Dench.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5964,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
7339,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6161,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4974,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6007,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4873,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5906,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5432,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4769,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4060,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5153,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6185,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3136,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3775,E_M_Martin_Freeman.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3392,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4086,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
17826,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3888,E_M_liam_neeson.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
8715,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
2668,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
2991,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5389,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5373,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
6116,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3349,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
7084,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3673,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4013,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3635,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
8706,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3210,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4513,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4648,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3136,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3326,E_F_jennifer_aniston.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5254,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4594,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
2836,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4696,P_F_esther_mcvey.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5992,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5167,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3232,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3542,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3336,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4837,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4317,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
2777,E_M_liam_neeson.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5652,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5648,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
10672,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
4423,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
7441,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
3056,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5950,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
5230,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c5b71a4d365e400015096f9,"11/30/2021, 18:43:17"
