RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3377,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3387,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4218,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3285,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2619,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2770,E_F_sandra_bullock.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4342,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4094,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1855,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2827,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3026,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3131,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2093,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
1964,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2936,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2000,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2239,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3599,E_F_Judi_Dench.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
4259,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2038,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
2183,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
3630,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b5a0ed1e56aea000118ad3a,"11/29/2021, 17:30:27"
