"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","pair","normlised_keyPress","age","gender","handedness","participant"
"1481","P_F_staiv.png","P_M_smut.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"P_F_staiv.png P_M_smut.png",0.939104519941677,"22","M","right","30097"
"3065","E_M_asi.png","E_M_danker.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",4,"E_M_asi.png E_M_danker.png",-0.675645333351704,"22","M","right","30097"
"4957","E_M_ido.png","P_M_buji.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_ido.png P_M_buji.png",-0.675645333351704,"22","M","right","30097"
"1994","E_F_shiri.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",4,"E_F_shiri.png P_F_shaked.png",-0.675645333351704,"22","M","right","30097"
"3588","E_M_asi.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_asi.png P_F_michaeli.png",0.131729593294986,"22","M","right","30097"
"2747","E_M_asi.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",5,"E_M_asi.png P_F_shaked.png",0.131729593294986,"22","M","right","30097"
"1867","P_F_staiv.png","P_M_saar.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"P_F_staiv.png P_M_saar.png",0.939104519941677,"22","M","right","30097"
"3034","E_F_shiri.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"E_F_shiri.png P_F_michaeli.png",0.939104519941677,"22","M","right","30097"
"1726","E_F_galit_gutman.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"E_F_galit_gutman.png P_F_michaeli.png",0.939104519941677,"22","M","right","30097"
"8160","E_F_galit_gutman.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_galit_gutman.png P_M_lapid.png",0.939104519941677,"22","M","right","30097"
"2422","E_F_shiri.png","P_M_lapid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_shiri.png P_M_lapid.png",0.939104519941677,"22","M","right","30097"
"1773","E_F_rotem_sela.png","P_F_staiv.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",6,"E_F_rotem_sela.png P_F_staiv.png",0.939104519941677,"22","M","right","30097"
"2228","P_F_michaeli.png","P_F_regev.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",4,"P_F_michaeli.png P_F_regev.png",-0.675645333351704,"22","M","right","30097"
"3391","E_M_asi.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",4,"E_M_asi.png E_M_yuda.png",-0.675645333351704,"22","M","right","30097"
"1181","E_M_danker.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"E_M_danker.png P_M_benet.png",0.939104519941677,"22","M","right","30097"
"977","E_F_shiri.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_shiri.png P_M_benet.png",0.939104519941677,"22","M","right","30097"
"1730","P_F_regev.png","P_M_benet.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"P_F_regev.png P_M_benet.png",0.939104519941677,"22","M","right","30097"
"4388","E_F_ilanit.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_ilanit.png E_M_asi.png",-0.675645333351704,"22","M","right","30097"
"2317","E_M_liorA.png","P_M_smut.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"E_M_liorA.png P_M_smut.png",0.939104519941677,"22","M","right","30097"
"3073","E_F_rotem_sela.png","E_F_shiri.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",4,"E_F_rotem_sela.png E_F_shiri.png",-0.675645333351704,"22","M","right","30097"
"4404","E_F_galit_gutman.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",5,"E_F_galit_gutman.png P_F_shaked.png",0.131729593294986,"22","M","right","30097"
"7506","E_M_asi.png","P_F_regev.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"E_M_asi.png P_F_regev.png",0.939104519941677,"22","M","right","30097"
"3715","E_F_rotem_sela.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",3,"E_F_rotem_sela.png P_M_gantz.png",-1.48302025999839,"22","M","right","30097"
"2370","E_F_shiri.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",3,"E_F_shiri.png E_M_ido.png",-0.410092058372052,"22","F","right","30175"
"3327","E_M_danker.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",4,"E_M_danker.png P_F_shaked.png",0.203431493523144,"22","F","right","30175"
"3289","E_M_yuda.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",3,"E_M_yuda.png P_F_michaeli.png",-0.410092058372052,"22","F","right","30175"
"2586","E_F_ninet.png","E_F_shiri.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",4,"E_F_ninet.png E_F_shiri.png",0.203431493523144,"22","F","right","30175"
"4158","E_F_rotem_sela.png","P_M_gantz.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",3,"E_F_rotem_sela.png P_M_gantz.png",-0.410092058372052,"22","F","right","30175"
"2663","P_F_regev.png","P_F_shaked.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",2,"P_F_regev.png P_F_shaked.png",-1.02361561026725,"22","F","right","30175"
"1979","E_M_yuda.png","P_F_shaked.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",3,"E_M_yuda.png P_F_shaked.png",-0.410092058372052,"22","F","right","30175"
"3229","E_M_danker.png","E_M_ido.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",1,"E_M_danker.png E_M_ido.png",-1.63713916216244,"22","F","right","30175"
"3783","E_F_rotem_sela.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",4,"E_F_rotem_sela.png E_M_asi.png",0.203431493523144,"22","F","right","30175"
"1799","E_F_ilanit.png","P_F_michaeli.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","F",4,"E_F_ilanit.png P_F_michaeli.png",0.203431493523144,"22","F","right","30175"
"4201","E_F_ilanit.png","E_M_asi.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",5,"E_F_ilanit.png E_M_asi.png",0.81695504541834,"22","F","right","30175"
"2189","E_F_shiri.png","E_M_yuda.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",5,"E_F_shiri.png E_M_yuda.png",0.81695504541834,"22","F","right","30175"
"3115","E_F_ilanit.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"E_F_ilanit.png P_M_saar.png",1.43047859731354,"22","F","right","30175"
"2232","E_M_asi.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_asi.png P_M_benet.png",0.203431493523144,"22","F","right","30175"
"3574","E_F_ninet.png","P_M_saar.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",3,"E_F_ninet.png P_M_saar.png",-0.410092058372052,"22","F","right","30175"
"3123","E_M_ido.png","P_M_benet.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",4,"E_M_ido.png P_M_benet.png",0.203431493523144,"22","F","right","30175"
