RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1411,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1362,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1710,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2222,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1667,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
3398,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2617,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
3661,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2968,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1499,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2220,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1248,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1680,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1503,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1505,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1841,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1770,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1402,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
99089,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1314,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1871,P_F_Theresa_May(16).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1677,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1535,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1911,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
947,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
188569,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1787,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1500,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1438,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1530,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1517,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2868,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1492,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1645,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1837,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1649,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
933,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
501,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
477,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
745,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
3969,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1638,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
780,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
987,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
597,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1131,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
409,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
459,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
538,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
3214,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
900,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
586,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
708,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
510,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
551,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1109,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
675,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
730,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2370,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
827,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
548,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
729,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
764,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
640,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
744,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1000,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
672,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
642,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
687,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
767,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
647,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
807,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
522,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
524,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
522,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
497,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
569,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
770,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
568,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
662,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
4991,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
429,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
731,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
962,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
450,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
954,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
545,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
529,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
713,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
677,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
504,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
533,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
461,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
497,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
676,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
595,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
598,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
2587,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
572,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
480,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
794,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
1441,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
809,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
983,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,63468973a7059c9302a33d4e,"10/17/2022, 10:14:31"
