RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1637,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1586,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1766,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1618,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1604,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1498,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1462,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1307,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2122,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1325,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1608,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1532,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2619,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2497,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1619,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2491,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2363,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1713,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1840,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1646,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1588,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2196,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1993,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1318,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1764,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1506,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1680,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
1621,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
2634,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
file,isFamiliar,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Dawn_Roma(22).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_nigel_farage(9).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_F_Theresa_May(16).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Sajid_Javid(12).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Sarah_Millican(22).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Peter_Kay(20).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Michael_Gove(3).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Jennifer_Saunders(21).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_keir_starmer(9).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_jeremy_corbyn(10).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_F_Julie_Walters(15).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_F_nicola_sturge(17).png,0,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_david_camer(18).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Simon_Pegg(24).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Russell_Howard(20).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Tony_Blair(12).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Michael_McIntyr(7).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Ewan_McGregor(15).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
E_M_Jimmy_Carr(12).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
P_M_Gordon_Brown(14).png,1,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
age: 31,gender: Male,handedness: right,5b200bbd325d600001c041c0,"10/17/2022, 10:06:53"
