RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2684,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2291,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2258,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
30964,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2950,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3416,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3413,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2864,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2449,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4639,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
1994,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2559,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2476,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2551,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3645,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4657,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
6216,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2993,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3207,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3133,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
7554,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
12466,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
10231,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4442,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
12359,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2407,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2248,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4106,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2400,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3513,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2094,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2559,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
1797,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3072,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2020,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3051,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2626,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3778,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4268,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2296,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3461,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3782,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2448,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2627,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
2626,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4596,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
5621,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
4900,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3704,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3776,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3898,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
5089,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
3539,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5c9322e9d2c77700010668b3,"10/17/2022, 10:17:19"
