RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5738,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4786,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
2492,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6401,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4372,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5244,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
6306,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4040,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3494,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
2677,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4020,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5937,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
8512,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3492,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3516,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3641,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5048,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5107,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
5678,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3266,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3704,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
3267,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
9351,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4592,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
4064,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5f1cb4def7935c56da910b1e,"10/17/2022, 10:16:56"
