RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4221,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5421,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4948,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
1922,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2332,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2049,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5681,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5167,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
4076,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2945,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3353,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3583,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3365,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2998,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2692,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2488,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2574,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
6215,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2869,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2178,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
1744,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2254,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
5012,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
3219,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
2268,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5cf8cc7e95c070001721db8d,"10/17/2022, 10:17:16"
