RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2031,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1486,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
14014,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
8183,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2142,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
19211,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2470,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1806,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2246,P_M_Michael_Gove(3).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2222,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2158,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1623,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2422,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
16446,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3446,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2446,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2415,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1710,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1519,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1687,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1846,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
4902,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2151,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2671,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2406,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
5198,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3015,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2934,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
38318,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2790,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3071,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2054,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1703,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1854,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2534,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1583,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3142,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2062,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1975,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3438,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2902,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3487,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2055,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
5542,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
28919,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2687,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2342,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2351,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1446,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2118,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2447,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2359,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2423,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2166,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2007,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3295,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2510,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
5390,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
5590,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1759,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2791,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1671,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2198,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1814,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1759,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2055,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1934,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
6230,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1599,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1479,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
5062,E_F_Dawn_Roma(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1543,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2230,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2175,E_F_Dawn_Roma(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2286,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2007,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1919,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1686,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1622,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1879,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1838,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2742,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2014,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1695,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1646,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
3278,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1862,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2407,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1847,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2366,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2078,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
6606,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
24391,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1846,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2358,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1838,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1662,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2254,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1838,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1870,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2166,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1759,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2215,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2310,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2175,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
1671,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2183,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
2078,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,6097c0f1b17aabadc9369fc5,"10/17/2022, 10:32:11"
