RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2098,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1957,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2107,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3989,E_M_Ewan_McGregor(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3893,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2449,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2144,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2719,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2716,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2142,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3100,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1978,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3852,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2486,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2921,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3442,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
3490,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4089,P_F_Theresa_May(16).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
4850,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
1884,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2506,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
2495,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62850a9d45988f3a749581e0,"10/17/2022, 10:11:12"
