RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3533,E_F_Sarah_Millican(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2909,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1528,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2072,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3902,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2290,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1821,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2373,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2750,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5071,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1817,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1803,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2943,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5349,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
26071,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2732,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3511,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1912,E_F_Dawn_Roma(22).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1799,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2271,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1739,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3445,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1845,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2524,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1840,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2496,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2203,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3475,E_F_Julie_Walters(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2508,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1828,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1909,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
6617,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
13293,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2109,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3039,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2737,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2656,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1688,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1939,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1739,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1797,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2254,E_F_Dawn_Roma(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1393,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2366,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1700,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2532,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1741,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1122,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3545,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1465,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1553,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1835,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2583,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1957,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1724,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2417,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2120,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1774,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3260,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
14957,E_F_Julie_Walters(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2070,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1487,E_M_Jimmy_Carr(12).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1647,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1641,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3266,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2440,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
4623,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2108,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1823,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2022,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5611,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2081,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3251,E_F_Sarah_Millican(22).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
4338,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
4489,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
10277,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2282,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2965,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
11356,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1829,E_F_Dawn_Roma(22).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2814,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2469,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2665,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2063,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
5603,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2303,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1849,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2458,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1344,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1129,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1046,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
827,E_F_Dawn_Roma(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3116,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3092,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
798,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1335,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
7867,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1535,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
9244,P_M_keir_starmer(9).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1441,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3825,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2260,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1648,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
911,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
768,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
779,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
648,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1433,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1447,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
961,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2676,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
850,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2258,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1941,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
3299,E_F_Dawn_Roma(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2620,E_F_Dawn_Roma(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1417,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
2044,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
1934,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d13259a4c4e2933cfa364b,"10/17/2022, 10:11:17"
