RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3675,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
4235,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2826,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3838,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2189,P_M_david_camer(18).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2000,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2684,E_M_Michael_McIntyr(7).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3725,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2902,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
2857,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
3329,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,6107d47aa8809d6bd6ac6a07,"10/17/2022, 09:08:58"
