RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4464,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3431,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3509,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4131,E_F_Jennifer_Saunders(21).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3098,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4088,E_M_Simon_Pegg(24).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3747,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2960,E_M_Peter_Kay(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2908,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4094,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3570,E_M_Michael_McIntyr(7).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4037,E_M_Michael_McIntyr(7).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3825,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2791,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4154,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2668,E_F_Julie_Walters(15).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2825,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2719,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2633,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3030,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
5068,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3243,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2883,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
4655,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3422,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3294,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3546,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3328,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
2671,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3721,P_F_nicola_sturge(17).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3070,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
3828,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5a5926b876d1c60001ab1ed7,"10/17/2022, 10:11:56"
