RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2242,E_M_Simon_Pegg(24).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2122,P_M_jeremy_corbyn(10).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1841,E_M_Simon_Pegg(24).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1794,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1862,P_M_Gordon_Brown(14).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1163,E_F_Dawn_Roma(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2119,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1671,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1601,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1514,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2839,E_M_Michael_McIntyr(7).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
4819,E_M_Russell_Howard(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1792,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1356,E_M_Jimmy_Carr(12).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2274,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2002,E_F_Sarah_Millican(22).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2078,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2489,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1397,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2180,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1371,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1392,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1010,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1177,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
908,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1404,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1584,E_M_Peter_Kay(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1243,E_M_Ewan_McGregor(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1520,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1177,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1021,E_F_Dawn_Roma(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1050,E_M_Ewan_McGregor(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
9959,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
31792,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3209,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3733,E_F_Jennifer_Saunders(21).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2177,P_M_david_camer(18).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1972,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3077,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1618,E_M_Michael_McIntyr(7).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1456,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1516,E_F_Julie_Walters(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3585,E_M_Peter_Kay(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1726,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
4179,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
3173,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1356,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1351,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1666,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1838,E_M_Simon_Pegg(24).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2001,E_M_Russell_Howard(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1584,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1193,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1082,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1609,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1405,E_M_Russell_Howard(20).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1357,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1209,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
9408,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1459,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1254,E_F_Julie_Walters(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
26053,E_F_Julie_Walters(15).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1238,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1752,P_F_nicola_sturge(17).png,P_F_Theresa_May(16).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1864,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1053,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1245,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1258,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2639,E_F_Dawn_Roma(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
5490,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
4291,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1263,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
981,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1502,E_M_Ewan_McGregor(15).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1081,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1849,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1061,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1319,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1054,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1580,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1417,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1633,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1373,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
2579,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
898,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1453,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1444,E_M_Michael_McIntyr(7).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
897,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1417,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
1052,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
877,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,6047bf2d4d6168063087fe8e,"10/17/2022, 09:14:01"
