RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3342,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3339,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2388,P_M_keir_starmer(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3542,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2683,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
1841,E_F_Jennifer_Saunders(21).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3752,P_M_Michael_Gove(3).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
4400,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
5186,P_M_david_camer(18).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3894,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
8794,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
2813,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
3882,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5a67676a35f26b000149689d,"10/17/2022, 10:14:35"
