RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1730,E_M_Jimmy_Carr(12).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
3790,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1525,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1331,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1496,E_F_Jennifer_Saunders(21).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1463,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1631,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1282,E_F_Dawn_Roma(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1439,E_F_Julie_Walters(15).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1083,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1286,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1286,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1779,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
1151,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
3166,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2575,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
2892,E_M_Ewan_McGregor(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5ca519cefed17500015f80f2,"10/17/2022, 10:09:51"
