RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
922,P_F_nicola_sturge(17).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
760,P_M_Michael_Gove(3).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
849,E_M_Ewan_McGregor(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1736,E_M_Jimmy_Carr(12).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1273,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1176,P_F_nicola_sturge(17).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1446,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2112,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1687,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1825,E_F_Dawn_Roma(22).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
783,E_M_Peter_Kay(20).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
956,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1104,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1613,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1066,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1190,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1209,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1889,E_F_Sarah_Millican(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1154,E_M_Ewan_McGregor(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
987,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
2324,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
1029,E_F_Jennifer_Saunders(21).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62ab2034b58fe149d144acf4,"10/17/2022, 10:15:09"
