RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2696,E_M_Michael_McIntyr(7).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3262,E_M_Russell_Howard(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2277,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2060,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2840,E_F_Jennifer_Saunders(21).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4347,E_M_Peter_Kay(20).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
10541,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
10431,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2900,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
4098,E_F_Dawn_Roma(22).png,E_F_Jennifer_Saunders(21).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
1905,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
2973,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3005,E_F_Jennifer_Saunders(21).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3841,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3649,E_M_Jimmy_Carr(12).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
3803,E_F_Jennifer_Saunders(21).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b89ad4819110c0001eb707c,"10/17/2022, 10:18:34"
