RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2596,P_M_Gordon_Brown(14).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2288,E_M_Jimmy_Carr(12).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2583,E_F_Julie_Walters(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2533,E_M_Ewan_McGregor(15).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1978,E_M_Jimmy_Carr(12).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1249,E_M_Jimmy_Carr(12).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2437,E_F_Sarah_Millican(22).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1631,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
6238,E_F_Julie_Walters(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3623,E_M_Ewan_McGregor(15).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2063,P_F_nicola_sturge(17).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2323,P_M_nigel_farage(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2949,E_F_Jennifer_Saunders(21).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
4254,P_F_Theresa_May(16).png,P_M_david_camer(18).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3383,E_F_Julie_Walters(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3627,E_F_Sarah_Millican(22).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,1,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3413,E_M_Simon_Pegg(24).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2107,E_M_Ewan_McGregor(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
5141,P_M_keir_starmer(9).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1899,E_M_Peter_Kay(20).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1991,E_F_Dawn_Roma(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1778,E_M_Russell_Howard(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2327,E_M_Ewan_McGregor(15).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2593,P_M_Gordon_Brown(14).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3223,E_F_Jennifer_Saunders(21).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2535,E_M_Jimmy_Carr(12).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2095,P_M_jeremy_corbyn(10).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1794,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2285,E_M_Jimmy_Carr(12).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2734,E_M_Simon_Pegg(24).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2450,P_M_david_camer(18).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2023,E_M_Jimmy_Carr(12).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1940,E_M_Russell_Howard(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1938,E_M_Russell_Howard(20).png,P_M_Michael_Gove(3).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2170,E_F_Dawn_Roma(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2510,E_F_Julie_Walters(15).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2531,E_F_Sarah_Millican(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2367,E_F_Sarah_Millican(22).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2491,E_F_Jennifer_Saunders(21).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2387,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2359,E_M_Simon_Pegg(24).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1915,E_F_Jennifer_Saunders(21).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2734,E_M_Ewan_McGregor(15).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3074,E_M_Simon_Pegg(24).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2286,E_M_Jimmy_Carr(12).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3422,P_M_jeremy_corbyn(10).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2376,E_M_Peter_Kay(20).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2609,E_F_Sarah_Millican(22).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
12244,E_M_Michael_McIntyr(7).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2439,E_M_Michael_McIntyr(7).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2861,E_M_Simon_Pegg(24).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3088,E_F_Julie_Walters(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1698,E_M_Jimmy_Carr(12).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
65170,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
16053,P_F_nicola_sturge(17).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2217,E_F_Jennifer_Saunders(21).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2228,P_F_Theresa_May(16).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2134,E_F_Jennifer_Saunders(21).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
30878,E_F_Sarah_Millican(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2723,P_F_nicola_sturge(17).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3190,E_M_Russell_Howard(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2201,P_M_Gordon_Brown(14).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2044,P_M_jeremy_corbyn(10).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2618,E_M_Ewan_McGregor(15).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
6646,E_M_Peter_Kay(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
11797,E_F_Dawn_Roma(22).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
5197,E_M_Michael_McIntyr(7).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3594,E_F_Julie_Walters(15).png,E_M_Russell_Howard(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3222,P_F_Theresa_May(16).png,P_M_Gordon_Brown(14).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1917,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1712,P_F_Theresa_May(16).png,P_M_keir_starmer(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2629,E_M_Ewan_McGregor(15).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1815,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2524,P_M_jeremy_corbyn(10).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1571,P_M_Gordon_Brown(14).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1601,E_F_Jennifer_Saunders(21).png,E_F_Julie_Walters(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2122,E_F_Jennifer_Saunders(21).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1805,P_F_nicola_sturge(17).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2386,E_M_Jimmy_Carr(12).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1986,E_F_Julie_Walters(15).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1738,E_M_Russell_Howard(20).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2354,P_M_nigel_farage(9).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1956,E_F_Dawn_Roma(22).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2378,E_F_Sarah_Millican(22).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2081,E_M_Russell_Howard(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2052,E_F_Sarah_Millican(22).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1901,E_M_Peter_Kay(20).png,P_M_david_camer(18).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2041,P_M_david_camer(18).png,P_M_Sajid_Javid(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1966,P_M_Sajid_Javid(12).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2344,E_F_Dawn_Roma(22).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1715,E_M_Russell_Howard(20).png,P_F_Theresa_May(16).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1735,E_F_Julie_Walters(15).png,P_M_nigel_farage(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1876,E_F_Julie_Walters(15).png,E_F_Sarah_Millican(22).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2387,E_M_Peter_Kay(20).png,E_M_Simon_Pegg(24).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1861,E_M_Michael_McIntyr(7).png,P_M_Tony_Blair(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1911,P_M_david_camer(18).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2177,P_M_Gordon_Brown(14).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2442,E_M_Ewan_McGregor(15).png,E_M_Peter_Kay(20).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1895,E_M_Peter_Kay(20).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1633,P_F_nicola_sturge(17).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2028,P_F_Theresa_May(16).png,P_M_nigel_farage(9).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3058,E_F_Jennifer_Saunders(21).png,E_M_Jimmy_Carr(12).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2590,E_M_Michael_McIntyr(7).png,P_M_Sajid_Javid(12).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2245,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
3256,P_M_david_camer(18).png,P_M_Michael_Gove(3).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
1989,E_F_Sarah_Millican(22).png,E_M_Ewan_McGregor(15).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
2167,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,62d136262c6a9f949e50eb59,"10/17/2022, 10:17:14"
