RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
5150,E_F_Julie_Walters(15).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6935,E_M_Simon_Pegg(24).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
6051,E_M_Michael_McIntyr(7).png,P_M_Gordon_Brown(14).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
9821,E_F_Jennifer_Saunders(21).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3279,P_M_keir_starmer(9).png,P_M_Tony_Blair(12).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
17447,E_M_Peter_Kay(20).png,P_M_keir_starmer(9).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
3414,E_F_Sarah_Millican(22).png,E_M_Michael_McIntyr(7).png,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
11328,E_F_Sarah_Millican(22).png,P_F_nicola_sturge(17).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
37294,P_F_Theresa_May(16).png,P_M_jeremy_corbyn(10).png,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
7526,E_F_Sarah_Millican(22).png,P_M_jeremy_corbyn(10).png,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5eb4909c2f46f82f9280a49b,"10/17/2022, 10:20:11"
