"RT","img_1","img_2","isSameProffesion","img1proffesion","img2proffesion","img1Gender","img2Gender","keyPressed","participant","time","pair","normlised_keyPress","age","gender","handedness"
"1861","E_F_Jennifer_Saunders.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png P_M_david_camer.png",0.685640195266756,"28","Male","right"
"2598","E_M_Peter_Kay.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Peter_Kay.png P_M_Tony_Blair.png",0.685640195266756,"28","Male","right"
"1975","E_F_Dawn_Roma_French.png","P_M_Sajid_Javid.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Dawn_Roma_French.png P_M_Sajid_Javid.png",0.685640195266756,"28","Male","right"
"2122","E_M_Jimmy_Carr.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Jimmy_Carr.png P_M_Gordon_Brown.png",0.685640195266756,"28","Male","right"
"2871","E_M_Simon_Pegg.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Simon_Pegg.png P_M_Gordon_Brown.png",0.685640195266756,"28","Male","right"
"5113","E_F_Sarah_Millican.png","P_M_Michael_Gove.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Sarah_Millican.png P_M_Michael_Gove.png",0.685640195266756,"28","Male","right"
"4829","E_F_Jennifer_Saunders.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png P_M_Tony_Blair.png",0.685640195266756,"28","Male","right"
"2275","E_F_Jennifer_Saunders.png","E_M_Michael_McIntyr.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png E_M_Michael_McIntyr.png",0.685640195266756,"28","Male","right"
"1953","P_F_nicola_sturge.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_nicola_sturge.png P_M_Tony_Blair.png",0.685640195266756,"28","Male","right"
"1764","P_M_Gordon_Brown.png","P_M_Michael_Gove.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_Gordon_Brown.png P_M_Michael_Gove.png",0.685640195266756,"28","Male","right"
"1961","E_M_Jimmy_Carr.png","P_F_nicola_sturge.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Jimmy_Carr.png P_F_nicola_sturge.png",0.685640195266756,"28","Male","right"
"1941","P_M_keir_starmer.png","P_M_Michael_Gove.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_keir_starmer.png P_M_Michael_Gove.png",0.685640195266756,"28","Male","right"
"2261","E_M_Ewan_McGregor.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Ewan_McGregor.png P_M_Gordon_Brown.png",0.685640195266756,"28","Male","right"
"2583","E_M_Jimmy_Carr.png","P_M_Michael_Gove.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Jimmy_Carr.png P_M_Michael_Gove.png",0.685640195266756,"28","Male","right"
"2682","P_M_jeremy_corbyn.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_jeremy_corbyn.png P_M_Tony_Blair.png",-0.617076175740081,"28","Male","right"
"4593","E_F_Sarah_Millican.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Sarah_Millican.png P_M_Tony_Blair.png",0.685640195266756,"28","Male","right"
"9114","E_F_Dawn_Roma_French.png","E_F_Sarah_Millican.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",3,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Dawn_Roma_French.png E_F_Sarah_Millican.png",-3.22250891775376,"28","Male","right"
"2842","E_M_Russell_Howard.png","P_M_Gordon_Brown.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Russell_Howard.png P_M_Gordon_Brown.png",0.685640195266756,"28","Male","right"
"2921","P_M_jeremy_corbyn.png","P_M_nigel_farage.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_jeremy_corbyn.png P_M_nigel_farage.png",-0.617076175740081,"28","Male","right"
"3200","E_M_Ewan_McGregor.png","P_F_nicola_sturge.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Ewan_McGregor.png P_F_nicola_sturge.png",0.685640195266756,"28","Male","right"
"7256","E_M_Michael_McIntyr.png","E_M_Simon_Pegg.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Michael_McIntyr.png E_M_Simon_Pegg.png",0.685640195266756,"28","Male","right"
"3294","P_M_Gordon_Brown.png","P_M_Tony_Blair.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_M_Gordon_Brown.png P_M_Tony_Blair.png",-0.617076175740081,"28","Male","right"
"4913","P_F_nicola_sturge.png","P_F_Theresa_May.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","F",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_nicola_sturge.png P_F_Theresa_May.png",-0.617076175740081,"28","Male","right"
"6733","E_M_Jimmy_Carr.png","P_M_keir_starmer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Jimmy_Carr.png P_M_keir_starmer.png",0.685640195266756,"28","Male","right"
"11064","E_M_Michael_McIntyr.png","P_F_nicola_sturge.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","F",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Michael_McIntyr.png P_F_nicola_sturge.png",0.685640195266756,"28","Male","right"
"2485","P_F_nicola_sturge.png","P_M_Sajid_Javid.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_nicola_sturge.png P_M_Sajid_Javid.png",0.685640195266756,"28","Male","right"
"2487","E_F_Jennifer_Saunders.png","E_F_Sarah_Millican.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","F",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png E_F_Sarah_Millican.png",0.685640195266756,"28","Male","right"
"2583","E_F_Jennifer_Saunders.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Jennifer_Saunders.png P_M_nigel_farage.png",0.685640195266756,"28","Male","right"
"3062","E_M_Russell_Howard.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Russell_Howard.png P_M_nigel_farage.png",-0.617076175740081,"28","Male","right"
"5624","E_M_Ewan_McGregor.png","P_M_david_camer.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Ewan_McGregor.png P_M_david_camer.png",0.685640195266756,"28","Male","right"
"3455","E_F_Dawn_Roma_French.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Dawn_Roma_French.png P_M_Tony_Blair.png",0.685640195266756,"28","Male","right"
"2759","E_M_Michael_McIntyr.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Michael_McIntyr.png P_M_nigel_farage.png",-0.617076175740081,"28","Male","right"
"4530","E_F_Julie_Walters.png","P_M_Tony_Blair.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Julie_Walters.png P_M_Tony_Blair.png",0.685640195266756,"28","Male","right"
"2779","E_F_Sarah_Millican.png","E_M_Peter_Kay.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",5,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Sarah_Millican.png E_M_Peter_Kay.png",-0.617076175740081,"28","Male","right"
"5345","E_M_Russell_Howard.png","P_M_jeremy_corbyn.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","M","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_M_Russell_Howard.png P_M_jeremy_corbyn.png",0.685640195266756,"28","Male","right"
"4088","E_F_Julie_Walters.png","E_M_Russell_Howard.png","TRUE","pictures/stimuli/E","pictures/stimuli/E","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Julie_Walters.png E_M_Russell_Howard.png",0.685640195266756,"28","Male","right"
"5057","E_F_Sarah_Millican.png","P_M_nigel_farage.png","FALSE","pictures/stimuli/E","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","E_F_Sarah_Millican.png P_M_nigel_farage.png",0.685640195266756,"28","Male","right"
"4207","P_F_nicola_sturge.png","P_M_david_camer.png","TRUE","pictures/stimuli/P","pictures/stimuli/P","F","M",6,"6149c3f9627672a6944a61e2","06/30/2022, 14:49:42","P_F_nicola_sturge.png P_M_david_camer.png",0.685640195266756,"28","Male","right"
