RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2221,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2833,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2789,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7289,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3526,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
16281,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
12539,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
11260,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
5405,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2323,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3270,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2753,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6728,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2972,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
1829,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7246,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
5099,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
5380,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2964,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
1950,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3059,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2229,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3060,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2870,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2472,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4594,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4314,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4818,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6358,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7052,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7494,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
1962,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
1870,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3607,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6811,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
16979,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2528,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
1442,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3901,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2659,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7546,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
5205,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
10343,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6227,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6130,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
7710,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
10312,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2792,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3607,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2567,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3192,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3999,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2081,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4354,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
4314,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
3960,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
2224,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
1817,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
1456,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
6694,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
17155,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5b91b40257131100016a3b87,"11/30/2021, 15:00:46"
