RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3266,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4409,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5248,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
10011,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4467,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4373,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4095,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4733,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4495,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
7787,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5670,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5822,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5623,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
6110,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5216,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4285,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4534,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4381,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
6937,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
6299,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3894,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4177,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3692,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5543,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5124,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4110,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3880,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4071,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4305,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5437,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4727,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4346,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5553,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3669,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4733,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4144,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
4194,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
3755,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5115,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
5930,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,617591ccce062eb0f319c2e7,"11/30/2021, 15:38:31"
