RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2127,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2622,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2630,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2808,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2212,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3065,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
4467,E_M_michael_caine.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2202,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3109,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2903,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2774,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2566,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2207,P_F_angela_rayner.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2640,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2455,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1775,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2802,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2444,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
1970,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2599,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2320,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3469,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2351,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
3418,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2814,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
2566,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,60f6e39820152fed1e6b185b,"11/30/2021, 14:54:10"
