RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
9460,E_F_keira_knightley.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2152,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2739,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
6908,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
4400,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
5888,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3089,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
8301,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
3897,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2980,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
7684,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
12730,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2233,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
2890,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5f0ef99d8fa1a8012eee6380,"11/30/2021, 14:54:45"
