RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1550,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2430,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2943,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3816,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2246,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2063,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1790,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2301,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2054,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2167,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2751,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2406,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2471,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2357,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4311,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3182,E_M_Martin_Freeman.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2281,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3845,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2253,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1839,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1575,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
1925,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2782,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2736,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2827,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4062,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2326,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3551,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2261,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
3781,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
4319,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2169,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
2398,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d66c1382d1a18000170759b,"11/30/2021, 14:43:36"
