RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2166,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1470,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2099,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1810,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1867,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1880,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1768,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2232,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1417,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1856,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2023,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1431,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1634,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2042,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,1,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1850,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2961,E_F_Kate_Winslet.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2071,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1922,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1609,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1368,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1926,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1852,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1973,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1574,E_M_nicolas_cage.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1802,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
1544,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
2411,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5ce0915efd65950019a59a93,"11/28/2021, 14:47:05"
