RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3138,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1640,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1927,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2651,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2480,P_F_esther_mcvey.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2751,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1954,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1607,E_F_angelina_jolie.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1918,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1346,P_F_esther_mcvey.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1305,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2600,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2189,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
4315,E_F_jennifer_aniston.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2046,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2002,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2384,P_F_tehresy_may.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1900,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2653,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2582,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1718,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3063,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2404,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1784,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2399,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1758,E_M_Hugh_Grant.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2450,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1488,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1330,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
4165,E_M_liam_neeson.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1532,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2861,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1893,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1304,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1700,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2089,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2044,E_F_Kate_Winslet.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1635,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1688,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2063,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3206,E_F_Judi_Dench.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1599,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1363,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1187,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2383,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1740,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1246,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1270,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1077,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2459,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2069,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1902,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1228,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
951,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3163,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1297,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1160,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2011,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1211,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
984,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3302,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1438,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2439,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2525,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3289,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2002,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1675,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1295,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2610,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1219,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1766,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1372,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2601,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1928,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1125,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2079,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1565,E_M_liam_neeson.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1120,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1103,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1750,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1674,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1018,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1373,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1202,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1094,E_M_tom_hankes.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1717,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2407,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
3331,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1676,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2211,E_F_keira_knightley.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1910,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1170,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2375,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2776,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2456,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1305,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1245,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1819,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1591,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1641,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1523,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2069,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1919,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1127,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1236,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1457,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1716,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2533,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1305,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1188,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1338,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
2061,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
1044,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5e22ba9ced7a20578dfb1ee4,"11/30/2021, 17:01:21"
