RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2776,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2193,E_M_liam_neeson.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1297,E_M_anthony_hopkins.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1866,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2569,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2569,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1831,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2221,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
1423,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
2344,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,5cf398a1e55efc000127adae,"11/30/2021, 14:42:15"
