RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3260,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4748,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4616,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5006,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5835,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3832,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3449,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6727,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3920,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3273,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3459,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4594,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4487,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5014,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4378,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3010,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4211,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3430,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3780,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6081,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3381,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4555,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2872,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3741,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3420,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5308,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
7246,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2452,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2383,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3908,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4712,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2539,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
13440,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
8067,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2961,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5262,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3026,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3234,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2688,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3027,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
7629,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3459,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
7169,E_F_sandra_bullock.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3067,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6485,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
8228,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
12743,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3255,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2983,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4662,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
7404,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4049,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2607,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
12844,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4791,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2765,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2677,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3685,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4216,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3999,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2659,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5555,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2699,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6428,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3253,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2658,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2738,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3000,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3305,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3598,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2863,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6233,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4233,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3787,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4192,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5097,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
7623,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6886,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6575,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5498,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2267,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2251,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2204,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2444,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3415,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3127,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2641,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5183,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4323,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3510,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4070,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2785,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2534,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3499,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2903,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2904,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3698,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6819,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2770,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4324,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2952,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5705,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3243,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4998,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5360,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3068,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6339,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
4938,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3813,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3237,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2865,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
5626,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2629,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3696,E_F_sandra_bullock.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3189,P_M_donald_trump.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
6774,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
2939,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3768,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3008,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
3725,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5aa8ec26b5e2110001c75442,"04/25/2022, 19:36:19"
