RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3674,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
5138,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2949,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
6845,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2490,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2496,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2622,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2322,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2499,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2784,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3217,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2785,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3164,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2840,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2910,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2947,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
6049,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3580,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2435,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
3070,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
2512,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
4360,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,614efec3c2a8c6cdc116f224,"04/25/2022, 19:47:28"
