RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2692,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2935,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2114,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
6378,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
4280,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
22262,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2382,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
6792,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
15091,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
6584,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3732,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
15937,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
12535,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3520,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2556,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
3591,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2861,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
2682,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
file,isFamiliar,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_F_hillary_clinton.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_F_jennifer_aniston.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_M_robert_de_niro.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_F_Kate_Winslet.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_F_nicola_sturgeon.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_F_angelina_jolie.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_F_tehresy_may.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_M_bill_clinton.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_M_nicolas_cage.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_M_david_cameron.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_F_sandra_bullock.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_M_michael_caine.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_M_donald_trump.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_M_tom_hankes.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_M_george_Wbush.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_M_boris_johnson.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_M_Hugh_Grant.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_F_keira_knightley.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
P_M_Tony_Blair.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
E_F_Judi_Dench.jpg,1,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
age: 26,gender: Female,handedness: right,5edfb368d30bbc2bae73e083,"04/25/2022, 19:34:28"
