RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2909,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3955,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4167,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
1996,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
9820,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
5009,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3295,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
1892,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3031,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2214,P_M_boris_johnson.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3392,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2487,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3349,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3676,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2332,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2376,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
5531,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2169,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2483,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
1880,E_M_Hugh_Grant.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3859,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3169,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2632,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3347,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2234,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3884,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2472,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2248,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2654,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4047,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3916,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2881,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3604,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2726,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2703,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2126,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3211,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
5394,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2555,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4400,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2337,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
1833,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
1907,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
6703,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2017,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3699,E_F_jennifer_aniston.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2530,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3522,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4082,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
4100,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2802,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3075,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3675,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2683,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
5101,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
2393,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
3192,E_F_jennifer_aniston.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5f44ee515cff5c02f09c17be,"04/25/2022, 19:49:58"
