RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4018,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3856,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3857,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4925,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4454,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
5822,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4406,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3221,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
4444,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3617,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
3116,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
11549,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
8551,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,57c975a8648ff40001666439,"04/25/2022, 19:51:33"
