RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4301,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2555,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2626,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2832,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4467,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2775,E_F_angelina_jolie.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2563,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3606,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2472,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2696,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3045,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3038,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2788,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5549,E_F_keira_knightley.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2904,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2456,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2510,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3762,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2449,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3715,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2567,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3845,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3752,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3030,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4166,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3254,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2389,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3830,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3100,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5926,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3676,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3145,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4381,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3374,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3681,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3263,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2695,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3453,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2968,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2744,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3307,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3059,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
4002,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
3308,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2861,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
5494,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2474,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
2704,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,57acc170c6bab4000172a42e,"04/25/2022, 19:39:34"
