RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2422,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3152,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3122,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3912,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2561,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
4327,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2762,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3626,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
2375,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
3423,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59a5b35c5954130001582a40,"04/25/2022, 19:34:37"
