RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3174,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4716,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6475,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5044,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
14627,E_M_tom_hankes.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2739,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
15232,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
7408,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4323,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3332,P_M_david_cameron.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
7563,E_M_Hugh_Grant.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2795,E_M_robert_de_niro.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3516,E_F_angelina_jolie.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5043,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
9407,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3332,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3180,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3598,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6465,E_F_Judi_Dench.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3856,E_F_Judi_Dench.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
8868,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6767,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3947,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
33891,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3629,E_F_angelina_jolie.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5239,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
13458,E_M_michael_caine.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3676,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3478,E_M_Hugh_Grant.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5302,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5461,E_M_michael_caine.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
14632,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2948,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3643,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
11122,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6340,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3704,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5467,E_M_robert_de_niro.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5083,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5513,P_F_nicola_sturgeon.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2830,E_M_michael_caine.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
8761,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
9796,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4428,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2383,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6546,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5293,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
10142,E_F_keira_knightley.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3348,P_F_hillary_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2943,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2493,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4216,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2773,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3099,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3552,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2560,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
13988,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
10890,E_M_michael_caine.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5059,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4841,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5490,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4242,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2269,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2242,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2413,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4651,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2774,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2286,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3479,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2613,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
15149,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2412,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2178,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2686,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2766,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5944,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2783,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
10167,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3511,E_M_tom_hankes.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2460,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5781,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2159,E_F_angelina_jolie.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4097,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2481,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4568,E_F_angelina_jolie.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3006,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
10116,E_M_tom_hankes.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4525,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4830,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2512,P_F_nicola_sturgeon.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2747,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2464,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2632,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
8927,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5904,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2645,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3182,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4369,E_M_robert_de_niro.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2333,P_F_nicola_sturgeon.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4086,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
8441,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
12517,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3140,E_F_jennifer_aniston.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2741,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2093,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5365,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3310,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4012,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3270,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6216,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
4888,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2511,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5404,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2839,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3184,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
11828,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3014,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2789,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2782,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2564,E_M_Hugh_Grant.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3458,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
6370,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2733,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2492,P_M_bill_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2493,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3279,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3422,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
3857,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
5907,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2890,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2407,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5840a23e462286000136b652,"04/25/2022, 20:12:52"
2309,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5840a23e462286000136b652,"04/25/2022, 20:12:52"
