RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3238,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3285,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3846,E_F_keira_knightley.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6401,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3698,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3554,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4319,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3646,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6722,E_F_Judi_Dench.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3599,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3711,E_F_keira_knightley.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3036,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5421,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4262,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2880,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2900,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3025,E_M_Hugh_Grant.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3970,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6650,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3443,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
10596,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
8267,P_F_nicola_sturgeon.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
7334,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3823,E_F_sandra_bullock.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3239,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3317,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4060,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3689,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3540,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5535,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
20902,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2653,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2755,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5612,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3126,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2924,E_F_angelina_jolie.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4339,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5995,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
2611,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
4137,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
5295,E_M_Hugh_Grant.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
6220,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
3981,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,59e7add7a59e7add7ae9f950001d8434de9f950001d8434d,"04/25/2022, 18:43:55"
