RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2440,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3344,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3379,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3261,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3913,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
5093,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2652,P_F_nicola_sturgeon.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2588,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2986,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4314,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
5899,E_M_robert_de_niro.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3101,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3108,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2909,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
14002,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
5818,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4548,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2809,E_F_Kate_Winslet.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
4855,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2585,E_F_jennifer_aniston.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2925,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3913,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3688,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
5275,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2891,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
6589,E_F_keira_knightley.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
8170,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
2717,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3685,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
3955,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,5cb5d4155e8cd100018330a0,"04/25/2022, 19:51:06"
