RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
6624,P_F_hillary_clinton.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2991,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4781,E_F_angelina_jolie.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2701,E_F_Kate_Winslet.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2780,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2827,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2866,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2682,E_F_keira_knightley.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2792,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2710,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
2763,E_F_keira_knightley.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
4183,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,3,5d5c1fec3690e5000187b4fb,"11/30/2021, 10:26:23"
