RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
1919,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2271,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2384,E_M_robert_de_niro.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2038,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2199,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2319,E_M_robert_de_niro.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2503,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2766,P_F_tehresy_may.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2198,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2135,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2079,E_F_keira_knightley.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
2031,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,5d8775aab2dfe3001a159d4c,"11/28/2021, 21:22:07"
