RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2927,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1828,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5103,P_F_angela_rayner.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
927,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
950,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1358,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1958,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1016,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,4,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
823,P_F_hillary_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1677,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
2186,E_M_nicolas_cage.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
5253,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
629,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
678,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
590,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
665,E_M_liam_neeson.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
634,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
745,E_M_anthony_hopkins.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1957,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
4430,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,6,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
11099,P_F_esther_mcvey.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1453,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
1592,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,5915e5c6405db80001f30ff1,"11/30/2021, 10:02:10"
