RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3008,P_F_hillary_clinton.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
5497,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2583,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3776,E_F_jennifer_aniston.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3078,P_F_PRITI_PATEL.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3605,E_F_angelina_jolie.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2631,E_F_keira_knightley.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2443,E_M_robert_de_niro.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2095,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3083,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2422,E_M_nicolas_cage.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
5222,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2278,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2228,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2374,E_M_Hugh_Grant.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1825,E_F_Kate_Winslet.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3280,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3663,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2648,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2539,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
7382,E_M_tom_hankes.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
4240,E_M_Martin_Freeman.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2367,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2443,E_M_Hugh_Grant.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3762,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
4132,P_F_tehresy_may.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2519,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2825,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2450,P_M_boris_johnson.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3031,E_F_angelina_jolie.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2204,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1718,E_M_nicolas_cage.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3167,E_M_Hugh_Grant.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
4305,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2903,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1747,E_F_sandra_bullock.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3972,E_F_angelina_jolie.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2639,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6506,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2014,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3662,P_F_nicola_sturgeon.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2713,E_M_liam_neeson.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2069,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2267,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1644,E_M_nicolas_cage.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2758,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
15643,P_F_PRITI_PATEL.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1658,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3092,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3376,E_M_robert_de_niro.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2222,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
8632,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
14031,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2397,P_F_PRITI_PATEL.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2281,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3629,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3198,E_F_sandra_bullock.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3300,E_M_Martin_Freeman.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2919,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2158,E_M_liam_neeson.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2116,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3050,E_M_anthony_hopkins.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2041,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
9725,E_F_angelina_jolie.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
7482,E_F_jennifer_aniston.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3262,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
5684,E_F_keira_knightley.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3759,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
12191,P_F_hillary_clinton.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3392,E_F_angelina_jolie.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3742,E_M_Hugh_Grant.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2491,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
4339,P_M_boris_johnson.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1997,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
5499,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1848,E_F_jennifer_aniston.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6703,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1920,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1744,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3990,E_F_Judi_Dench.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1956,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1994,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2828,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2327,E_M_liam_neeson.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1766,E_F_sandra_bullock.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
8223,E_M_Martin_Freeman.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
4053,E_F_sandra_bullock.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
4449,P_M_boris_johnson.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2398,E_M_michael_caine.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2644,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1823,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3360,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1902,E_F_Judi_Dench.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
8337,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6462,E_M_robert_de_niro.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3482,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
7911,E_F_sandra_bullock.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1876,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
5861,P_F_hillary_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2180,E_F_sandra_bullock.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2081,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
13941,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2763,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2944,E_M_michael_caine.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2367,P_F_tehresy_may.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6477,E_M_anthony_hopkins.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2522,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2993,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3307,P_F_angela_rayner.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3047,E_M_Martin_Freeman.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6015,E_M_michael_caine.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2762,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
17338,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
122174,E_F_jennifer_aniston.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6143,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2957,E_F_jennifer_aniston.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2306,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
3712,E_F_sandra_bullock.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
8372,E_F_Judi_Dench.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,3,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2905,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
6198,P_M_bill_clinton.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,2,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2230,E_F_angelina_jolie.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2844,E_F_Judi_Dench.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2491,P_F_PRITI_PATEL.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,5,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
2122,E_F_Kate_Winslet.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
1888,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,61498b19c4c3198647c0b2da,"11/30/2021, 10:15:49"
