RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3497,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3500,E_M_michael_caine.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3624,E_F_keira_knightley.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3075,E_M_Hugh_Grant.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3155,P_M_donald_trump.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2943,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2901,E_F_jennifer_aniston.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2727,P_F_tehresy_may.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
5388,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2359,E_F_Kate_Winslet.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2629,E_M_anthony_hopkins.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3131,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4213,E_M_Martin_Freeman.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3078,E_F_Kate_Winslet.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
5577,E_F_sandra_bullock.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2817,E_M_Martin_Freeman.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3326,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
13096,E_F_jennifer_aniston.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
6865,E_F_Judi_Dench.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
8486,P_M_david_cameron.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2568,E_M_nicolas_cage.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
16155,E_F_keira_knightley.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4958,E_F_keira_knightley.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4242,E_F_Judi_Dench.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2526,E_F_Kate_Winslet.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3086,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3383,P_F_angela_rayner.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4856,E_M_liam_neeson.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2869,E_M_Martin_Freeman.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3530,E_F_Kate_Winslet.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3625,P_F_angela_rayner.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2905,E_M_nicolas_cage.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
10168,E_M_robert_de_niro.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2422,E_M_Hugh_Grant.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2281,E_M_robert_de_niro.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
6192,E_F_angelina_jolie.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3741,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3236,E_M_robert_de_niro.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3449,P_M_george_Wbush.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
6276,P_F_PRITI_PATEL.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
16926,E_M_Martin_Freeman.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3809,P_F_hillary_clinton.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2238,P_F_PRITI_PATEL.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3601,E_M_michael_caine.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2506,P_F_nicola_sturgeon.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2585,E_M_anthony_hopkins.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2396,E_M_nicolas_cage.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2676,E_M_Martin_Freeman.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3843,E_F_keira_knightley.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3632,E_F_Judi_Dench.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4406,E_M_tom_hankes.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3329,E_M_nicolas_cage.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3706,E_F_Kate_Winslet.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
8262,E_F_Kate_Winslet.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
8531,E_M_michael_caine.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3228,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3203,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
7506,E_M_tom_hankes.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2154,E_M_michael_caine.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
5201,E_F_keira_knightley.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3821,E_M_Hugh_Grant.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2812,E_M_Hugh_Grant.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3003,P_M_david_cameron.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2337,E_M_anthony_hopkins.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2787,P_F_angela_rayner.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
5877,P_M_bill_clinton.jpg,P_M_boris_johnson.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2704,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
10206,E_M_nicolas_cage.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2361,P_M_bill_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2578,P_F_PRITI_PATEL.jpg,P_M_donald_trump.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
1965,E_F_sandra_bullock.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3101,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2289,E_F_jennifer_aniston.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2294,E_M_anthony_hopkins.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2699,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2570,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
5580,E_M_anthony_hopkins.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3205,E_F_angelina_jolie.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2626,P_M_bill_clinton.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3338,P_F_angela_rayner.jpg,P_M_george_Wbush.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3305,E_F_sandra_bullock.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2300,P_F_esther_mcvey.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,2,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3337,P_F_angela_rayner.jpg,P_F_hillary_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
1931,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2850,E_F_Judi_Dench.jpg,E_F_Kate_Winslet.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3353,E_M_tom_hankes.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2649,E_F_sandra_bullock.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2172,E_F_angelina_jolie.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3519,E_F_angelina_jolie.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2517,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
9059,E_M_michael_caine.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
6252,E_M_anthony_hopkins.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
7997,P_F_tehresy_may.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3340,P_F_esther_mcvey.jpg,P_F_nicola_sturgeon.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2413,E_F_jennifer_aniston.jpg,E_M_Hugh_Grant.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
5859,E_M_anthony_hopkins.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
1938,E_F_Judi_Dench.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2357,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2460,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2519,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3301,E_M_tom_hankes.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
3005,E_F_Kate_Winslet.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2672,E_M_anthony_hopkins.jpg,P_F_angela_rayner.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4647,E_F_jennifer_aniston.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
4547,E_F_Kate_Winslet.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2148,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
9115,E_F_Kate_Winslet.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
9706,P_F_hillary_clinton.jpg,P_M_bill_clinton.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2655,E_M_anthony_hopkins.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
7019,E_M_nicolas_cage.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2485,E_F_angelina_jolie.jpg,E_F_Judi_Dench.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2837,P_F_esther_mcvey.jpg,P_F_tehresy_may.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,3,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2008,E_F_Kate_Winslet.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
1940,E_F_angelina_jolie.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2763,E_F_angelina_jolie.jpg,E_F_jennifer_aniston.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,1,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
2198,E_F_keira_knightley.jpg,P_M_Tony_Blair.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,60b78dc1eb46833a5c6b1235,"11/30/2021, 10:12:12"
