RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4685,E_F_sandra_bullock.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4459,E_F_sandra_bullock.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3765,E_F_angelina_jolie.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4343,E_M_Martin_Freeman.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4107,E_M_liam_neeson.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4292,E_F_jennifer_aniston.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5702,E_F_jennifer_aniston.jpg,E_M_michael_caine.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6788,E_F_sandra_bullock.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4340,E_M_nicolas_cage.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
7003,E_F_Judi_Dench.jpg,P_M_george_Wbush.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5506,P_F_esther_mcvey.jpg,P_F_PRITI_PATEL.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4705,E_F_jennifer_aniston.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3733,P_F_esther_mcvey.jpg,P_M_david_cameron.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4852,E_M_michael_caine.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5085,P_F_hillary_clinton.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4684,P_F_angela_rayner.jpg,P_M_Tony_Blair.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,M,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3815,E_F_Judi_Dench.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4041,E_F_Judi_Dench.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3783,E_M_anthony_hopkins.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4404,E_F_Kate_Winslet.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3915,E_F_Kate_Winslet.jpg,E_F_keira_knightley.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4195,E_F_Kate_Winslet.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4480,E_F_jennifer_aniston.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5083,E_F_Judi_Dench.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4031,E_M_Hugh_Grant.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6589,E_M_anthony_hopkins.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
9184,E_M_liam_neeson.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
7158,E_M_tom_hankes.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5281,E_M_Hugh_Grant.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
9915,E_F_Judi_Dench.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4410,E_F_Kate_Winslet.jpg,P_M_david_cameron.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3180,P_F_angela_rayner.jpg,P_F_esther_mcvey.jpg,TRUE,pictures/stimuli/P,pictures/stimuli/P,F,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3954,E_F_angelina_jolie.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4053,E_M_anthony_hopkins.jpg,E_M_robert_de_niro.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3964,E_F_jennifer_aniston.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
3729,E_F_sandra_bullock.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4193,E_M_tom_hankes.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5679,E_M_michael_caine.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5341,E_M_robert_de_niro.jpg,P_F_hillary_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6560,E_F_keira_knightley.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,3,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6502,E_M_Hugh_Grant.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5305,E_F_angelina_jolie.jpg,E_M_anthony_hopkins.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4158,E_M_liam_neeson.jpg,P_F_nicola_sturgeon.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5328,E_F_Kate_Winslet.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,F,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5271,E_M_nicolas_cage.jpg,P_F_PRITI_PATEL.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5759,E_F_jennifer_aniston.jpg,E_M_nicolas_cage.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
7665,E_F_jennifer_aniston.jpg,E_F_sandra_bullock.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,F,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4834,E_F_sandra_bullock.jpg,P_M_donald_trump.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
9884,E_F_angelina_jolie.jpg,E_M_tom_hankes.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,1,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
18283,E_F_keira_knightley.jpg,P_M_boris_johnson.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
10053,E_M_anthony_hopkins.jpg,E_M_liam_neeson.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,M,M,5,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
4495,E_M_Martin_Freeman.jpg,P_F_esther_mcvey.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,4,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5088,E_M_liam_neeson.jpg,P_F_tehresy_may.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,M,F,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
5507,E_F_Judi_Dench.jpg,P_M_bill_clinton.jpg,FALSE,pictures/stimuli/E,pictures/stimuli/P,F,M,6,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
6031,E_F_Kate_Winslet.jpg,E_M_Martin_Freeman.jpg,TRUE,pictures/stimuli/E,pictures/stimuli/E,F,M,2,607a0b8de259e8a8b12eb17f,"11/30/2021, 10:27:30"
