RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2558,E_moniMo.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4350,E_ornaBanai.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2289,P_benet.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3995,E_harLev.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5490,E_moniMo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2604,E_moniMo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1984,E_alfi.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3102,P_liberman.jpg,P_peretz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1817,P_peretz.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2798,E_ivri.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2957,E_tavori.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2079,E_ivri.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5593,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2180,E_ornaBanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2495,E_harLev.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1788,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3147,E_rita.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3698,E_shaniCo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5330,P_shaked.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
37051,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2288,E_rita.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4805,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3408,E_alfi.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2961,P_michaeli.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3607,E_ivri.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2927,E_ornaBanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3371,E_shaniCo.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2497,E_shaharHasson.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1848,E_yanai.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1934,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2163,E_ivri.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2548,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5447,E_alfi.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2309,E_ivri.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3027,E_alfi.jpg,E_ivri.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2261,E_ivri.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1853,E_moniMo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2088,P_smootchi.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3669,P_benet.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4830,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4154,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3336,P_benet.jpg,P_liberman.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3522,P_peretz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5575,E_ornaBanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2379,E_alfi.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5732,P_benet.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,2,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2097,E_shaniCo.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4353,E_harLev.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5431,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3148,P_lapid.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3315,E_katorza.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2549,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2680,E_moniMo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2416,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
7195,E_shaniCo.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3328,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
9406,P_benet.jpg,P_lapid.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5418,E_katorza.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
7920,E_harLev.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1961,E_alfi.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2138,E_harLev.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2072,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5006,E_rita.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1702,E_shaharHasson.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2932,P_michaeli.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,F,2,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2523,E_katorza.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2162,E_tavori.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3267,E_shaharHasson.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2344,E_rita.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2952,E_shaharHasson.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1931,P_lapid.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2006,E_harLev.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2069,E_alfi.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1821,E_yanai.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1846,E_yanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3475,E_rita.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4483,E_moniMo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2840,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2136,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2960,E_alfi.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3598,P_peretz.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
6772,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,3,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4457,E_tavori.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2428,E_moniMo.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4783,E_shaniCo.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
5025,P_yehimovitz.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1963,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1727,E_tavori.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3807,P_smootchi.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2878,E_tavori.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2727,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2606,E_rita.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2658,E_katorza.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
20280,E_ornaBanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4263,P_benet.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,2,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2359,E_yanai.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2432,E_alfi.jpg,E_harLev.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1968,E_moniMo.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3458,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3279,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2025,E_shaniCo.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3938,E_ornaBanai.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
4188,E_moniMo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1591,E_harLev.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2786,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2535,E_moniMo.jpg,E_shaniCo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
6394,E_shaharHasson.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1957,E_rita.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3969,E_yanai.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2284,E_ivri.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3303,E_ornaBanai.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
3644,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
1882,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
7958,E_katorza.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2175,P_liberman.jpg,P_shaked.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2359,E_katorza.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
2524,E_yanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6165fbcbd866befb34bf1c64,"06/13/2022, 10:27:52"
