RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
5099,E_ivri.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2957,E_yanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2619,E_ivri.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3236,E_ornaBanai.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2863,E_moniMo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3359,P_michaeli.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2229,P_lapid.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3178,E_alfi.jpg,P_liberman.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2100,E_harLev.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4179,E_alfi.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
36639,E_ornaBanai.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2679,E_ornaBanai.jpg,E_rita.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2110,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
1966,E_ivri.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
1812,E_katorza.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3717,E_tavori.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2578,E_moniMo.jpg,E_ornaBanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3898,E_alfi.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2279,E_tavori.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3178,E_harLev.jpg,E_katorza.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
1810,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4376,P_peretz.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
16532,E_rita.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
55117,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
6565,E_harLev.jpg,E_shaharHasson.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,1,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2405,E_shaniCo.jpg,P_zamir.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
13883,E_tavori.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
7944,E_harLev.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4231,P_michaeli.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,2,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
37540,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
25976,E_shaniCo.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
15070,E_alfi.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,M,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4265,E_ivri.jpg,P_shaked.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2397,E_shaharHasson.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
6751,P_shaked.jpg,P_zamir.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,F,M,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3193,E_shaniCo.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
18358,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
2129,E_ornaBanai.jpg,P_smootchi.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
4906,P_liberman.jpg,P_yehimovitz.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,4,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
3358,E_shaniCo.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
5480,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
22316,E_harLev.jpg,P_peretz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,5fba41772662809a52871f4f,"06/13/2022, 08:17:55"
