RT,img_1,img_2,isSameProffesion,img1proffesion,img2proffesion,img1Gender,img2Gender,keyPressed,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2287,E_ornaBanai.jpg,P_yehimovitz.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,F,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
3768,P_liberman.jpg,P_smootchi.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,M,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2782,E_ornaBanai.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2302,E_katorza.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,2,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2728,E_shaharHasson.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2615,E_yanai.jpg,P_benet.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,6,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2823,E_shaniCo.jpg,P_lapid.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,F,M,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2439,E_rita.jpg,E_yanai.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,F,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4377,E_alfi.jpg,P_michaeli.jpg,FALSE,pictures/stimuli/Entertainmant,pictures/stimuli/Politics,M,F,5,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
4287,P_benet.jpg,P_michaeli.jpg,TRUE,pictures/stimuli/Politics,pictures/stimuli/Politics,M,F,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
6279,E_alfi.jpg,E_tavori.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,M,M,4,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
2407,E_harLev.jpg,E_moniMo.jpg,TRUE,pictures/stimuli/Entertainmant,pictures/stimuli/Entertainmant,F,M,3,6126ada60743b6c4e6cb6706,"06/13/2022, 15:00:38"
